Example text data file for the plotdata command.
The data reading starts from the first long block of numbers.
The last line before the data can define column names, hashmarks "#"
are ignored.

# x  sin      cos
-1.2 -0.932039 0.362358
-1.15 -0.912764 0.408487
-1.1 -0.891207 0.453596
-1.05 -0.867423 0.497571
-1 -0.841471 0.540302
-0.95 -0.813416 0.581683
-0.9 -0.783327 0.62161
-0.85 -0.75128 0.659983
-0.8 -0.717356 0.696707
-0.75 -0.681639 0.731689
-0.7 -0.644218 0.764842
-0.65 -0.605186 0.796084
-0.6 -0.564642 0.825336
-0.55 -0.522687 0.852525
-0.5 -0.479426 0.877583
-0.45 -0.434966 0.900447
-0.4 -0.389418 0.921061
-0.35 -0.342898 0.939373
-0.3 -0.29552 0.955336
-0.25 -0.247404 0.968912
-0.2 -0.198669 0.980067
-0.15 -0.149438 0.988771
-0.1 -0.0998334 0.995004
-0.05 -0.0499792 0.99875
-1.77636e-14 -1.77636e-14 1
0.05 0.0499792 0.99875
0.1 0.0998334 0.995004
0.15 0.149438 0.988771
0.2 0.198669 0.980067
0.25 0.247404 0.968912
0.3 0.29552 0.955336
0.35 0.342898 0.939373
0.4 0.389418 0.921061
0.45 0.434966 0.900447
0.5 0.479426 0.877583
0.55 0.522687 0.852525
0.6 0.564642 0.825336
0.65 0.605186 0.796084
0.7 0.644218 0.764842
0.75 0.681639 0.731689
0.8 0.717356 0.696707
0.85 0.75128 0.659983
0.9 0.783327 0.62161
0.95 0.813416 0.581683
1 0.841471 0.540302
1.05 0.867423 0.497571
1.1 0.891207 0.453596
1.15 0.912764 0.408487
1.2 0.932039 0.362358
1.25 0.948985 0.315322
1.3 0.963558 0.267499
1.35 0.975723 0.219007
1.4 0.98545 0.169967
1.45 0.992713 0.120503
1.5 0.997495 0.0707372
1.55 0.999784 0.0207948
1.6 0.999574 -0.0291995
1.65 0.996865 -0.0791209
1.7 0.991665 -0.128844
1.75 0.983986 -0.178246
1.8 0.973848 -0.227202
1.85 0.961275 -0.27559
1.9 0.9463 -0.32329
1.95 0.92896 -0.370181
2 0.909297 -0.416147
2.05 0.887362 -0.461073
2.1 0.863209 -0.504846
2.15 0.836899 -0.547358
2.2 0.808496 -0.588501
2.25 0.778073 -0.628174
2.3 0.745705 -0.666276
2.35 0.711473 -0.702713
2.4 0.675463 -0.737394
2.45 0.637765 -0.770231
2.5 0.598472 -0.801144
2.55 0.557684 -0.830054
2.6 0.515501 -0.856889
2.65 0.472031 -0.881582
2.7 0.42738 -0.904072
2.75 0.381661 -0.924302
2.8 0.334988 -0.942222
2.85 0.287478 -0.957787
2.9 0.239249 -0.970958
2.95 0.190423 -0.981702
3 0.14112 -0.989992
3.05 0.0914646 -0.995808
3.1 0.0415807 -0.999135
3.15 -0.00840725 -0.999965
3.2 -0.0583741 -0.998295
3.25 -0.108195 -0.99413
3.3 -0.157746 -0.98748
3.35 -0.206902 -0.978362
3.4 -0.255541 -0.966798
3.45 -0.303542 -0.952818
3.5 -0.350783 -0.936457
3.55 -0.397148 -0.917755
3.6 -0.44252 -0.896758
3.65 -0.486787 -0.873521
3.7 -0.529836 -0.8481
3.75 -0.571561 -0.820559
3.8 -0.611858 -0.790968
3.85 -0.650625 -0.759399
3.9 -0.687766 -0.725932
3.95 -0.723188 -0.690651
4 -0.756802 -0.653644
4.05 -0.788525 -0.615002
4.1 -0.818277 -0.574824
4.15 -0.845984 -0.533209
4.2 -0.871576 -0.490261
4.25 -0.894989 -0.446087
4.3 -0.916166 -0.400799
4.35 -0.935053 -0.354509
4.4 -0.951602 -0.307333
4.45 -0.965773 -0.259389
4.5 -0.97753 -0.210796
4.55 -0.986844 -0.161676
4.6 -0.993691 -0.112153
4.65 -0.998054 -0.0623485
4.7 -0.999923 -0.0123887
4.75 -0.999293 0.0376022
4.8 -0.996165 0.087499
4.85 -0.990547 0.137177
4.9 -0.982453 0.186512
4.95 -0.971903 0.235381
5 -0.958924 0.283662
